,Job,Central Nodes,Unicorn Nodes,central_mean_embedding,central_sum_embedding,central_d2v_embedding,unicorn_mean_embedding,unicorn_sum_embedding,unicorn_d2v_embedding
0,Robotics Engineers,"['Automation', 'Policy_Analysis,_Research,_and_Development', 'Business', 'Communication']","['Automation', 'Policy_Analysis,_Research,_and_Development', 'Business', 'Communication', 'Design', 'C_and_C++', 'C']","[ 0.2666294   0.17161693  0.7976402  -1.6122401   0.6406021  -0.36939496
 -1.1969496   1.916354   -0.30074307 -1.5041689  -1.781506   -0.78266555
 -0.81433964  0.6515284  -0.62803876 -0.7914548  -0.45453376  0.2735183
  0.30603734  0.06985368  0.55376446 -0.17283656 -0.16649494 -0.07818422
  1.1523943 ]","[ 1.0665176   0.6864677   3.1905608  -6.4489603   2.5624084  -1.4775798
 -4.7877984   7.665416   -1.2029723  -6.0166755  -7.126024   -3.1306622
 -3.2573586   2.6061137  -2.512155   -3.1658192  -1.818135    1.0940732
  1.2241493   0.2794147   2.2150578  -0.6913462  -0.66597974 -0.31273687
  4.609577  ]","[-0.12216999 -0.14877726 -0.01888537 -0.17312194 -0.03362757  0.10993746
 -0.28665015  0.02972437  0.37435368 -0.04371936  0.09044342 -0.02475468
 -0.0746586   0.39467245 -0.16213788  0.1940617  -0.10067882  0.00977928
  0.20707755  0.21832906 -0.05823755 -0.00901266  0.01807269  0.22615288
  0.07733961  0.02869414 -0.21224208  0.02737611 -0.14136757 -0.24451122
 -0.41699618  0.18620437  0.07887836 -0.09911426 -0.2789129  -0.03700175
  0.17275432  0.08356506 -0.13068105 -0.16170645  0.19101705  0.25382975
  0.2440117  -0.33106926 -0.12296201 -0.13246895  0.08118533  0.09813496
 -0.08088193  0.09756812  0.20806429  0.04131082 -0.04930756  0.02898123
  0.22526453 -0.07347553  0.16270262  0.06497281 -0.1942447  -0.02125676
  0.16053212 -0.2085016   0.00871838 -0.12530462  0.04926157  0.0585467
 -0.06707933 -0.03610516 -0.16824606  0.16782774  0.20268694  0.08289137
 -0.07623664 -0.10925118 -0.07796549]","[ 0.60151917 -0.18291393  1.1178379   0.02569328 -0.35050815 -1.348324
 -1.6771878   1.4675977  -1.0245705  -1.6823708  -0.4891496  -0.10504901
 -1.2699147   1.2526128   0.92027193 -2.1088731  -0.64064634  0.33676955
 -0.5047785   0.31330204  0.3268037   1.8551573   1.5723008  -1.7739187
  1.9694024 ]","[  4.210634    -1.2803975    7.8248653    0.17985296  -2.453557
  -9.438268   -11.7403145   10.273184    -7.1719933  -11.776595
  -3.4240472   -0.7353431   -8.889403     8.76829      6.4419036
 -14.762113    -4.4845243    2.3573868   -3.5334494    2.1931143
   2.287626    12.986101    11.006105   -12.417431    13.785817  ]","[-0.22139458 -0.22040822  0.00565892 -0.25854692  0.01516423  0.1734668
 -0.44940335  0.03994023  0.5830745  -0.01811538  0.11839105  0.05191151
 -0.12256549  0.5825672  -0.24772091  0.3388975  -0.21236593  0.04846486
  0.32187504  0.3511184  -0.08062579 -0.00299689  0.00519052  0.3243215
  0.09547308  0.07773809 -0.31669146  0.01573854 -0.24651214 -0.33892927
 -0.65957737  0.31410214  0.1414762  -0.22034872 -0.4162962  -0.00715288
  0.261068    0.14941305 -0.22175471 -0.21422023  0.24413124  0.34003922
  0.3867495  -0.56195056 -0.1724581  -0.2276869   0.11684287  0.16717152
 -0.16867381  0.09636645  0.33052358  0.07424042 -0.04669561  0.00916188
  0.38637927 -0.09673018  0.26045203  0.1341532  -0.34821838 -0.05413267
  0.30417812 -0.29384676 -0.00237839 -0.29211843  0.07933274  0.12923071
 -0.07522892 -0.0769593  -0.21205013  0.27367303  0.28773296  0.16482975
 -0.18884996 -0.14514217 -0.12320995]"
1,Computer Network Support Specialists,"['Communication', 'Company,_Product,_and_Service_Knowledge', 'Business', 'Policy_Analysis,_Research,_and_Development', 'Maintenance,_Repair,_and_Facility_Services', 'Science_and_Research', 'Technical_Support_and_Services', 'Computer_Science', 'Engineering,_Scientific,_and_Technical_Instruments', 'Customer_Service', 'Information_Technology', 'Design']","['Communication', 'Company,_Product,_and_Service_Knowledge', 'Business', 'Policy_Analysis,_Research,_and_Development', 'Maintenance,_Repair,_and_Facility_Services', 'Science_and_Research', 'Technical_Support_and_Services', 'Computer_Science', 'Engineering,_Scientific,_and_Technical_Instruments', 'Customer_Service', 'Information_Technology', 'Design', 'Problem_Solving', 'Administration', 'Sales', 'Education_and_Training', 'Servers', 'Analysis', 'Water_Supply,_Testing,_and_Treatment', 'Economics,_Policy,_and_Social_Studies']","[-0.7877329  -1.0924481   0.3762381  -0.7592678   0.3385712  -0.2845999
 -0.13372712  0.13221034 -1.1401292  -0.3054119  -0.10520611 -0.43227872
 -0.6521489  -0.06254564 -1.0390838   0.34003806 -0.00849011  0.19508852
 -0.21393692 -0.15977615  0.08654345  1.5782799  -0.38624477  0.09383025
  1.0713652 ]","[ -9.452795   -13.109377     4.5148573   -9.111214     4.0628543
  -3.4151988   -1.6047254    1.5865241  -13.68155     -3.6649427
  -1.2624733   -5.1873446   -7.825787    -0.7505477  -12.469007
   4.0804567   -0.10188127   2.3410623   -2.567243    -1.9173138
   1.0385214   18.939358    -4.6349373    1.125963    12.856383  ]","[-0.10616438 -0.15199165 -0.04869238 -0.27904055 -0.02391532  0.17867056
 -0.34301788  0.00472096  0.45013872 -0.04985951  0.16969873 -0.04338387
 -0.07023007  0.47439408 -0.1812813   0.14732452 -0.14193898 -0.01370183
  0.20219536  0.27942052 -0.10325628 -0.07594696  0.02621724  0.2593762
  0.11779746  0.08449329 -0.24377418  0.01758216 -0.14415698 -0.27873054
 -0.4466625   0.22683609  0.12728038 -0.14319824 -0.2644237  -0.06136554
  0.28018036  0.07790269 -0.16856611 -0.17292424  0.17930807  0.24971336
  0.27387795 -0.38370305 -0.17437613 -0.1711492   0.09421442  0.13906367
 -0.04827584  0.13695434  0.2346829   0.06520679 -0.095273    0.01569883
  0.23742521  0.0189176   0.18110752  0.12197895 -0.23224555  0.01919791
  0.18457408 -0.20889708 -0.07302845 -0.11452683 -0.01874405  0.08403443
 -0.08115263 -0.0357414  -0.1913719   0.19026774  0.22350077  0.08682074
 -0.08412781 -0.12168676 -0.12884669]","[-0.50921947 -0.4702754   0.5466096  -0.9266491   0.35504708 -0.3886377
  0.10922613  0.82448006 -0.25413987 -0.22602668  0.07649938 -0.81552666
 -0.26341638  0.04405155 -0.6538043   1.1733848   0.23418896 -0.10341565
 -0.73287046 -0.4069752   0.24138102  0.87035334 -0.23708038 -0.11325288
  0.9252893 ]","[-10.184389    -9.405508    10.932192   -18.532982     7.1009417
  -7.7727537    2.1845226   16.489601    -5.0827975   -4.5205336
   1.5299876  -16.310534    -5.2683277    0.88103104 -13.076086
  23.467695     4.6837792   -2.0683131  -14.65741     -8.139504
   4.8276205   17.407066    -4.7416077   -2.2650576   18.505785  ]","[-0.15696017 -0.3271854  -0.09937967 -0.46441185  0.00996635  0.24592328
 -0.4878193   0.07516322  0.76690215 -0.10928708  0.26511675 -0.03445239
 -0.14354439  0.6309637  -0.24222523  0.289491   -0.19377206  0.01692208
  0.22850685  0.4252085  -0.23134807 -0.11847566  0.06308509  0.3995438
  0.11932007  0.0252492  -0.32473055 -0.01015049 -0.23346455 -0.3893053
 -0.6459009   0.29585472  0.31271973 -0.20509844 -0.37396932 -0.13079244
  0.34338385  0.12455006 -0.32204834 -0.2174475   0.32655218  0.3059875
  0.4027191  -0.5772448  -0.26194122 -0.24362701  0.13295482  0.38709533
 -0.02516388  0.21656515  0.43060717  0.144786   -0.1232727   0.10311559
  0.30400383 -0.04518873  0.24692287  0.11918257 -0.3065967   0.01965833
  0.25946665 -0.25723684 -0.04874331 -0.10420508  0.00958024  0.12465693
 -0.20244847 -0.12532398 -0.2699517   0.2671307   0.37336773  0.05120469
 -0.07525263 -0.13398872 -0.11091689]"
2,Computer Systems Engineers/Architects,"['Design', 'Policy_Analysis,_Research,_and_Development', 'Business', 'Company,_Product,_and_Service_Knowledge', 'Engineering,_Scientific,_and_Technical_Instruments', 'Architecture_and_Construction', 'Communication', 'Science_and_Research', 'Computer_Science', 'Information_Technology', 'Maintenance,_Repair,_and_Facility_Services', 'Analysis', 'Linux', 'Water_Supply,_Testing,_and_Treatment', 'Administration', 'Amazon_Web_Services_(AWS)', 'Automation', 'Python', 'Project_Management', 'Fire_Prevention,_Safety,_and_Control', 'Java', 'Servers', 'Virtual_Private_Networks_(VPN)']","['Design', 'Policy_Analysis,_Research,_and_Development', 'Business', 'Company,_Product,_and_Service_Knowledge', 'Engineering,_Scientific,_and_Technical_Instruments', 'Architecture_and_Construction', 'Communication', 'Science_and_Research', 'Computer_Science', 'Information_Technology', 'Maintenance,_Repair,_and_Facility_Services', 'Analysis', 'Linux', 'Water_Supply,_Testing,_and_Treatment', 'Administration', 'Amazon_Web_Services_(AWS)', 'Automation', 'Python', 'Project_Management', 'Fire_Prevention,_Safety,_and_Control', 'Java', 'Servers', 'Virtual_Private_Networks_(VPN)', 'Production_and_Assembly', 'Software_Development', 'Law,_Regulation,_and_Compliance']","[-0.4569536  -0.47230348  1.1062187  -0.9851861   0.2423198  -0.8549425
 -0.73481256  0.35059047 -0.82504195 -0.73301363 -0.00485985 -0.2923198
 -0.27493724  0.01736544 -1.2735807   1.0105172   0.06068239  0.09887879
 -0.15087467  0.27719483 -0.04510682  0.66570044 -0.12340636 -1.0007637
  0.7415502 ]","[-10.5099325  -10.86298     25.443031   -22.65928      5.5733557
 -19.663677   -16.900688     8.0635805  -18.975965   -16.859314
  -0.11177647  -6.7233553   -6.3235564    0.399405   -29.292356
  23.241898     1.395695     2.2742121   -3.4701176    6.375481
  -1.0374569   15.31111     -2.8383462  -23.017565    17.055655  ]","[-0.47481146 -0.40661895 -0.0111077   0.12528762 -0.01529897 -0.15505268
 -0.32249257  0.18378542  0.54508275  0.04762292  0.1506864  -0.09872995
 -0.20565568  0.7295816  -0.2512513   0.28996062  0.02297871  0.04124404
 -0.00773168  0.53809404 -0.13249558  0.01038921 -0.33434328  0.32961106
  0.25816923  0.1091916  -0.2905895   0.2031551  -0.28212067 -0.4244767
 -0.76795787  0.39106897 -0.01302584 -0.46506056 -0.34300464 -0.2799014
  0.3951726   0.22043724 -0.2692437  -0.62439847  0.28621748  0.13197109
  0.6178566  -0.730027   -0.0746126  -0.16566053  0.3124809  -0.29461175
 -0.0915637   0.35066622  0.13522488  0.27568033  0.2684228   0.07098208
  0.49784106 -0.21547152  0.57856566 -0.12775373 -0.31528598 -0.28848216
  0.43662986 -0.2996465   0.16515042 -0.29825994  0.13298205  0.26389322
 -0.05775996 -0.17949444 -0.37069514  0.38635677  0.5309701   0.25769767
 -0.33299828  0.06374218 -0.258661  ]","[-0.2120166  -0.44376963  1.074553   -1.0653846   0.22837041 -0.8777436
 -0.70585215  0.31917584 -0.83898324 -0.75643635 -0.06902513 -0.3114528
 -0.06900939  0.2379458  -1.3758788   1.091522   -0.21962224 -0.07631826
 -0.25839138  0.2383906  -0.0694031   0.29503372 -0.15351179 -1.0336044
  0.61890846]","[ -5.5124316 -11.538011   27.938377  -27.699999    5.9376307 -22.821333
 -18.352156    8.298572  -21.813564  -19.667345   -1.7946533  -8.097773
  -1.794244    6.1865907 -35.77285    28.37957    -5.7101784  -1.9842749
  -6.718176    6.1981554  -1.8044806   7.670877   -3.9913065 -26.873714
  16.09162  ]","[-0.6182094  -0.7231587  -0.09543911  0.43312132 -0.09916323 -0.372201
 -0.32914504  0.20368491  0.5525672   0.35124677  0.19218487 -0.17392819
 -0.29402152  0.59449565  0.12045463  0.4280424   0.0717179   0.08494643
  0.03071808  0.55761445 -0.09756764  0.07599784 -0.56986046  0.49624848
  0.19213063  0.12320321 -0.26592368  0.28172886 -0.39523542 -0.55973
 -0.89744145  0.3152562  -0.08598261 -0.4371978  -0.31456727 -0.35975844
  0.22842447  0.36364704 -0.42760786 -0.8457728   0.48354194  0.29763106
  0.77539164 -0.91933155  0.15518177 -0.24340817  0.39339072 -0.69016004
 -0.23897201  0.39083934  0.02031334  0.653143    0.44889158 -0.00663996
  0.5116836  -0.39016843  0.54253906 -0.17588848 -0.43901485 -0.36070523
  0.49961004 -0.39571825  0.19533545 -0.41747162  0.358202    0.33780283
 -0.18104291 -0.26370642 -0.40591574  0.63004285  0.6245124   0.21256009
 -0.38526097  0.00349519 -0.25184116]"
3,Information Security Engineers,"['Communication', 'Policy_Analysis,_Research,_and_Development', 'Business', 'Design', 'Engineering,_Scientific,_and_Technical_Instruments', 'Science_and_Research', 'Administration', 'Company,_Product,_and_Service_Knowledge', 'Amazon_Web_Services_(AWS)', 'Computer_Science', 'Linux', 'Maintenance,_Repair,_and_Facility_Services', 'Water_Supply,_Testing,_and_Treatment', 'Architecture_and_Construction', 'Automation', 'DevOps', 'Information_Technology', 'Law,_Regulation,_and_Compliance', 'Analysis', 'Python', 'Scripting', 'Servers']","['Communication', 'Policy_Analysis,_Research,_and_Development', 'Business', 'Design', 'Engineering,_Scientific,_and_Technical_Instruments', 'Science_and_Research', 'Administration', 'Company,_Product,_and_Service_Knowledge', 'Amazon_Web_Services_(AWS)', 'Computer_Science', 'Linux', 'Maintenance,_Repair,_and_Facility_Services', 'Water_Supply,_Testing,_and_Treatment', 'Architecture_and_Construction', 'Automation', 'DevOps', 'Information_Technology', 'Law,_Regulation,_and_Compliance', 'Analysis', 'Python', 'Scripting', 'Servers', 'Cloud_Infrastructure', 'Vulnerability', 'Incident_Response', 'System_Administration', 'Cybersecurity', 'Cloud_Services', 'JavaScript_and_jQuery', 'Production_and_Assembly', 'JavaScript', 'Fire_Prevention,_Safety,_and_Control', 'Active_Directory', 'Cyber_Security', 'Java', 'Google', 'Computer_Engineering']","[-0.27205965 -0.07890101  1.0864768  -0.95302826  0.24370237 -1.0806432
 -0.47160494  0.46576566 -1.0638541  -0.82466084 -0.4210281  -0.58714384
 -0.22654557 -0.29739088 -1.5550338   0.8402965   0.23048235 -0.29620227
 -0.12862454  0.08682763  0.23937505  0.35194767 -0.3342296  -1.4536653
  0.9541952 ]","[ -5.985312   -1.7358222  23.902489  -20.966621    5.361452  -23.77415
 -10.375309   10.246844  -23.40479   -18.142538   -9.262618  -12.917165
  -4.9840026  -6.542599  -34.210743   18.486523    5.070612   -6.51645
  -2.82974     1.9102079   5.266251    7.7428484  -7.353051  -31.980637
  20.992294 ]","[-0.19126797 -0.3739543  -0.15400669 -0.4869791   0.03937138  0.17966153
 -0.6179053   0.06097354  0.99133193 -0.06866665  0.25562617 -0.02410563
 -0.19930843  0.7466556  -0.33198017  0.41873145 -0.17055935  0.16775446
  0.2970351   0.47582683 -0.2356528   0.01004734 -0.00175655  0.47048563
  0.13098879 -0.02728413 -0.34508222  0.03758753 -0.33625913 -0.6201786
 -0.9030068   0.4028996   0.3627776  -0.15753037 -0.57250446 -0.1285113
  0.2876504   0.16851237 -0.3294982  -0.3088558   0.5626517   0.54468375
  0.478562   -0.77278334 -0.31436422 -0.3149855   0.10416101  0.4080783
 -0.04717258  0.1861151   0.44528583  0.3570721  -0.04049015  0.08035625
  0.48606515 -0.15079747  0.2591239   0.0225924  -0.38580734  0.02995201
  0.21435785 -0.37118953  0.06600577 -0.23510003  0.14894202  0.17366727
 -0.14474934 -0.2004624  -0.38268432  0.31409776  0.48595452  0.09035001
 -0.01474887 -0.2070159  -0.06147992]","[-0.48013955 -0.18380868  1.1791321  -0.79868186  0.07915927 -0.9447653
 -0.18218732  0.79048854 -0.5701757  -0.66909546  0.56843126 -0.80603874
  0.17962804  0.06106522 -1.5783551   0.94565314  0.5198193  -0.04008699
 -0.49764937  0.49098694  0.30287412  0.71752244  0.251999   -1.6247025
  1.0987988 ]","[-17.765163   -6.8009214  43.627888  -29.55123     2.928893  -34.956318
  -6.7409306  29.248075  -21.0965    -24.756533   21.031956  -29.823433
   6.6462374   2.2594132 -58.399136   34.989166   19.233315   -1.4832187
 -18.413027   18.166517   11.206343   26.54833     9.323963  -60.11399
  40.655552 ]","[-1.0007995  -0.86252713  0.2920234   0.3183509   0.7815875  -0.4224845
 -1.2069651  -0.18115503  0.42907476  0.29599884  0.48843136  0.18327725
 -0.73550427  1.0735502   0.7555886   0.6925922   0.0998989   0.40212908
 -0.33087602  0.16740337 -0.6985139  -0.07155585 -0.56416506  0.9825317
 -0.5887601  -0.001926   -1.3045815   0.12694433  0.3359184  -0.06653951
 -0.6083111   0.22570348  0.06602664  0.28911045 -0.52016586  0.769033
 -0.20694971  0.21675049 -0.536971   -1.3244486   1.2230482   0.37488306
  0.8098802  -0.31560028 -0.36887738 -0.43154588 -0.4263938  -0.48560542
 -0.43900812  0.06400695 -0.08783069  0.61969155 -0.2623237  -0.32741898
 -0.66206527 -0.46237198 -0.7044268  -0.08879253 -0.52819085 -0.6641006
 -0.11142829 -0.09353533  0.26737508 -0.72716874  0.88489205 -0.04758772
 -0.14137813 -0.18168046  0.2627796   0.09228744  0.9351208  -0.07323398
 -0.19028552  0.08047956 -0.5423306 ]"
4,Data Scientists,"['Business', 'Analysis', 'Policy_Analysis,_Research,_and_Development', 'Communication', 'Science_and_Research', 'Analytics', 'Company,_Product,_and_Service_Knowledge', 'Python', 'Design', 'Computer_Science', 'Engineering,_Scientific,_and_Technical_Instruments', 'Statistics', 'Data_Analysis', 'Extract_Transform_Load_(ETL)', 'Tableau', 'Visualization', 'Machine_Learning_(ML)', 'Databases', 'Architecture_and_Construction', 'Water_Supply,_Testing,_and_Treatment', 'Language', 'Data_Quality', 'Data_Visualization', 'Data_Mining', 'Amazon_Web_Services_(AWS)', 'Power_BI']","['Business', 'Analysis', 'Policy_Analysis,_Research,_and_Development', 'Communication', 'Science_and_Research', 'Analytics', 'Company,_Product,_and_Service_Knowledge', 'Python', 'Design', 'Computer_Science', 'Engineering,_Scientific,_and_Technical_Instruments', 'Statistics', 'Data_Analysis', 'Extract_Transform_Load_(ETL)', 'Tableau', 'Visualization', 'Machine_Learning_(ML)', 'Databases', 'Architecture_and_Construction', 'Water_Supply,_Testing,_and_Treatment', 'Language', 'Data_Quality', 'Data_Visualization', 'Data_Mining', 'Amazon_Web_Services_(AWS)', 'Power_BI', 'Business_Intelligence', 'Writing', 'Data_Management', 'Java', 'Maintenance,_Repair,_and_Facility_Services', 'Project_Management', 'Production_and_Assembly', 'Google', 'Business_Requirements', 'Information_Technology', 'Marketing', 'Algorithms', 'Sales', 'Automation', 'Economics,_Policy,_and_Social_Studies', 'Finance', 'Oracle', 'Artificial_Intelligence_(AI)', 'Scripting', 'Data_Modeling', 'Administration', 'Fire_Prevention,_Safety,_and_Control', 'Relational_Databases', 'Problem_Solving', 'Dashboard', 'Data_Pipeline', 'Linux', 'Warehousing', 'Data_Warehousing', 'Data_Processing', 'Statistical_Analysis', 'Data_Collection', 'Data_Integration', 'Education_and_Training', 'Microsoft_Excel', 'Product_Development', 'MySQL', 'Law,_Regulation,_and_Compliance', 'Information_Systems', 'DevOps', 'Data_Architecture', 'Microsoft_Office']","[ 1.3057069   0.7116635   0.79953074 -0.28941807 -0.8122685  -0.9220253
 -0.2103844   1.492208   -1.5756009  -0.89697784  0.66973215 -0.46187288
 -0.18207642  0.754083   -0.8420937   1.3805989   0.22244866  0.0353485
 -0.26259533 -0.51897156  0.29597294  0.09720835 -0.00259214 -0.30389398
  0.4078793 ]","[ 33.94838     18.50325     20.7878      -7.52487    -21.11898
 -23.972658    -5.4699945   38.79741    -40.965622   -23.321424
  17.413036   -12.008695    -4.733987    19.606157   -21.894436
  35.895573     5.783665     0.91906095  -6.8274784  -13.49326
   7.695297     2.5274172   -0.06739557  -7.9012437   10.604861  ]","[-0.38633993 -0.06985074 -0.18810324 -0.11977608  0.00417589 -0.04920977
 -0.38309467  0.08966406  0.8344283   0.28014994  0.19797179  0.10852426
  0.05647673  0.63801587 -0.08262453  0.13375482 -0.27110887 -0.4551303
  0.5540502   0.10986212 -0.01820782 -0.3007282   0.03486984  0.40814242
 -0.02421807 -0.1944055  -0.6024479   0.17300114  0.05718071 -0.50113684
 -0.60124433  0.3425488   0.30634123 -0.10865953 -0.37454093 -0.44803098
  0.57278615  0.14193779 -0.3419754  -0.548366    0.24516031  0.8626519
  0.33236358 -0.7519983  -0.23066075 -0.39919713 -0.40925822  0.26888132
 -0.36476183  0.7510182   0.61109114  0.10543318 -0.1906783   0.00930255
  0.2682425  -0.17015548  0.41555902 -0.0301538  -0.46514535  0.01620044
  0.15816647 -0.30920106 -0.12679781 -0.096637    0.03169644 -0.30574057
 -0.1356342  -0.0988315  -0.25294578  0.5235302   0.46658614 -0.04676827
 -0.26269925 -0.49042538 -0.26643828]","[ 0.88272893  0.5243252   0.9757885  -0.64730805 -1.0730845  -0.81963694
  0.31741777  1.1218908  -1.4135103  -1.1876895   0.612185   -0.16702783
 -0.1868575   0.36139366 -1.1476145   1.6054435   0.20656906 -0.04672832
 -0.44456744 -0.00476495  0.32634768 -0.33184826  0.26269886  0.13386086
  0.82574767]","[ 60.025566   35.654114   66.353615  -44.01695   -72.96974   -55.735313
  21.584408   76.288574  -96.118706  -80.762886   41.62858   -11.357892
 -12.70631    24.574768  -78.03778   109.17016    14.046696   -3.177526
 -30.230585   -0.3240168  22.191643  -22.565681   17.863522    9.102538
  56.15084  ]","[-2.2174764  -0.33422896  1.005378    1.2911093   0.7393921  -1.8703712
 -1.0418903   0.07324451  0.17253208  0.90089357  0.44213265 -1.4964118
 -0.11447605 -0.0338953   1.9561225   1.3812554  -0.2371495  -1.3135521
  1.9375887  -0.6357127   0.18369243  0.10394432  0.43546546  1.4497691
  0.5144102  -0.2979783  -1.8702905   0.15570971 -0.41210356 -1.835544
  0.00972424  0.75734836 -0.33167005 -0.39342722  0.59153     0.3141886
  0.06792601  0.86554885 -0.33893377 -0.75682205 -0.30567625  1.87124
  0.9755499  -1.6896312   1.1750228  -0.30125666 -1.8814222  -0.84432006
 -0.7034099   1.3596761  -0.22557814  1.3529319  -0.08992451 -0.6472014
 -0.5014053  -2.3753097   0.09883326 -0.22378412 -0.12759013 -0.28145528
 -0.77026165  0.4232109   0.93512726  0.51853186  0.94829607 -0.27170476
 -0.34817788 -0.25878224 -0.16152696  0.3877999   2.0116658  -0.15567705
 -0.7208942  -0.8198053   0.11783493]"
5,Medical Records Specialists,"['Company,_Product,_and_Service_Knowledge', 'Law,_Regulation,_and_Compliance', 'Health_Care', 'Communication', 'Economics,_Policy,_and_Social_Studies']","['Company,_Product,_and_Service_Knowledge', 'Law,_Regulation,_and_Compliance', 'Health_Care', 'Communication', 'Economics,_Policy,_and_Social_Studies', 'Policy_Analysis,_Research,_and_Development', 'Maintenance,_Repair,_and_Facility_Services', 'Quality_Management', 'Events_and_Conferences', 'Business', 'Customer_Service', 'Revenue_Management', 'Compensation_and_Benefits', 'PHP']","[ 1.4170473   0.0806496   2.0891411  -0.372487   -1.0136364  -0.69690895
  0.7133459   1.2439744   0.725881    0.5798186  -0.7441787  -1.3748834
  0.54792464 -0.75980043 -0.60884064  2.9520235  -0.27258217 -1.756587
 -1.5684026  -0.7457618   1.0491349  -1.956782   -0.27587193 -1.5928328
  1.3303862 ]","[ 7.0852365  0.403248  10.445705  -1.8624351 -5.068182  -3.4845448
  3.5667293  6.2198725  3.629405   2.899093  -3.7208936 -6.8744173
  2.7396233 -3.7990022 -3.0442033 14.760118  -1.3629109 -8.782935
 -7.8420134 -3.728809   5.245674  -9.78391   -1.3793596 -7.964164
  6.651931 ]","[-0.11520541 -0.15015061 -0.04794101 -0.15366583 -0.04631244  0.14312848
 -0.20671575  0.02338746  0.3986832  -0.0721547   0.13242893  0.01302513
 -0.04036051  0.29213586 -0.16334546  0.16723605 -0.1480821  -0.00075419
  0.18767886  0.2294199  -0.11207971 -0.05036699  0.02237962  0.25793508
  0.04918031  0.00568533 -0.19320555 -0.02025855 -0.14019836 -0.28886425
 -0.42743486  0.20571682  0.061172   -0.10937613 -0.27265838 -0.01997932
  0.1858488   0.05756414 -0.09762977 -0.13421704  0.21832503  0.26948333
  0.2881399  -0.35228544 -0.14304739 -0.09693273  0.06880635  0.15679154
 -0.11816143  0.11312123  0.14585406  0.09981851 -0.05622296  0.00969732
  0.21219315 -0.04647614  0.11103083  0.05920257 -0.21502522  0.04690064
  0.19249326 -0.2150969  -0.02659069 -0.17106889  0.09386736  0.09652101
 -0.00941839 -0.02811237 -0.11096783  0.18050689  0.21566552  0.13293026
 -0.09202216 -0.2029241  -0.06978138]","[ 0.207554   -0.11381795  1.4000893  -0.34740946 -0.6134664  -0.5017345
  0.52619225  0.78772265 -0.56617475 -0.08629851 -0.25552604  0.11269373
  0.5532586  -0.10108067 -0.7029701   2.6584988  -0.39869216 -1.0900238
 -1.1904318   0.03654957  0.8735407   0.08233595  0.68642026 -0.57880336
  1.4258964 ]","[  2.905756    -1.5934514   19.60125     -4.8637323   -8.58853
  -7.024283     7.366691    11.028117    -7.9264464   -1.2081791
  -3.5773644    1.5777123    7.7456203   -1.4151294   -9.841581
  37.218983    -5.5816903  -15.260332   -16.666046     0.51169395
  12.229569     1.1527033    9.609883    -8.103247    19.96255   ]","[-0.215095   -0.25574553 -0.18884803 -0.30362976 -0.2547233  -0.21867007
 -0.28407398 -0.04668542  0.23744345 -0.01979969  0.3128289   0.15431477
 -0.1560243   0.26921284 -0.1351396   0.24015433 -0.13831815 -0.42442346
  0.01506175  0.09655786 -0.1681379   0.27988318 -0.03192621  0.02162136
  0.10690023  0.2741799  -0.12683892 -0.15851143 -0.34415644 -0.5625251
 -0.26120132  0.19640996  0.15201554 -0.14777395  0.22636268 -0.35476336
  0.09586532  0.00828202 -0.10950624 -0.09456771 -0.1369266   0.48841706
  0.29042515 -0.20527476 -0.06801579  0.18857412 -0.5675777   0.09535247
  0.03428905  0.17581062  0.18936124  0.02642494  0.06896591  0.0898537
  0.11091826 -0.20631032  0.4091061   0.07572313 -0.26661184  0.23055205
  0.309614   -0.13237527 -0.13648093  0.04897936  0.14043257 -0.07970328
 -0.02753944  0.10377377  0.05568216 -0.02486896  0.31739217  0.18254162
  0.05837642 -0.2050291   0.08346231]"
