,skill,count,degree,standard_count,standard_degree,skill profile,job
69,Change Requests,14,81,0.4143876994524071,0.5713883206448348,bridging,Computer Systems Analysts
70,C#,14,116,0.4143876994524071,1.1670221965928074,bridging,Computer Systems Analysts
71,Systems Analysis,13,95,0.36052436888918127,0.8096418710240239,bridging,Computer Systems Analysts
72,Initiative and Leadership,13,88,0.36052436888918127,0.6905150958344293,bridging,Computer Systems Analysts
73,UI/UX,13,91,0.36052436888918127,0.7415694280585412,bridging,Computer Systems Analysts
74,Manufacturing and Production,12,138,0.30666103832595537,1.5414206329029616,bridging,Computer Systems Analysts
75,Software Engineering,12,103,0.30666103832595537,0.945786756954989,bridging,Computer Systems Analysts
76,UNIX,12,89,0.30666103832595537,0.7075332065758,bridging,Computer Systems Analysts
77,Debugging,12,105,0.30666103832595537,0.9798229784377303,bridging,Computer Systems Analysts
78,PHP,12,85,0.30666103832595537,0.6394607636103173,bridging,Computer Systems Analysts
79,System Design and Implementation,12,90,0.30666103832595537,0.7245513173171706,bridging,Computer Systems Analysts
80,Computer Engineering,12,97,0.30666103832595537,0.8436780925067651,bridging,Computer Systems Analysts
81,MySQL,12,99,0.30666103832595537,0.8777143139895064,bridging,Computer Systems Analysts
82,Unix,12,89,0.30666103832595537,0.7075332065758,bridging,Computer Systems Analysts
84,Requirements Analysis,12,61,0.30666103832595537,0.23102610581742183,bridging,Computer Systems Analysts
85,Events and Conferences,12,77,0.30666103832595537,0.5033158776793522,bridging,Computer Systems Analysts
86,Microsoft Office,11,102,0.25279770776272953,0.9287686462136183,bridging,Computer Systems Analysts
87,Technical Writing,11,80,0.25279770776272953,0.5543702099034641,bridging,Computer Systems Analysts
88,Payroll,11,112,0.25279770776272953,1.0989497536273247,bridging,Computer Systems Analysts
89,XML,11,118,0.25279770776272953,1.2010584180755488,bridging,Computer Systems Analysts
90,Microsoft Dynamics,11,97,0.25279770776272953,0.8436780925067651,bridging,Computer Systems Analysts
91,Business Management,10,117,0.19893437719950366,1.184040307334178,bridging,Computer Systems Analysts
92,Solution Design,10,97,0.19893437719950366,0.8436780925067651,bridging,Computer Systems Analysts
93,Business Solutions,10,94,0.19893437719950366,0.7926237602826531,bridging,Computer Systems Analysts
94,Gap Analysis,10,90,0.19893437719950366,0.7245513173171706,bridging,Computer Systems Analysts
95,Process Analysis,10,77,0.19893437719950366,0.5033158776793522,bridging,Computer Systems Analysts
96,Customer Service,10,102,0.19893437719950366,0.9287686462136183,bridging,Computer Systems Analysts
97,Advanced Business Application Programming (ABAP),9,84,0.1450710466362778,0.6224426528689467,bridging,Computer Systems Analysts
98,Salesforce Development,9,56,0.1450710466362778,0.14593555211056858,bridging,Computer Systems Analysts
99,Business Strategy,9,54,0.1450710466362778,0.1118993306278273,bridging,Computer Systems Analysts
100,System Configuration,9,66,0.1450710466362778,0.31611665952427503,bridging,Computer Systems Analysts
101,Human Capital Management (HCM),9,106,0.1450710466362778,0.996841089179101,bridging,Computer Systems Analysts
102,Data Integrity,9,84,0.1450710466362778,0.6224426528689467,bridging,Computer Systems Analysts
103,PL/SQL,9,68,0.1450710466362778,0.35015288100701636,bridging,Computer Systems Analysts
104,Industrial Engineering,8,67,0.09120771607305193,0.3331347702656457,bridging,Computer Systems Analysts
105,Warehouse Management,8,91,0.09120771607305193,0.7415694280585412,bridging,Computer Systems Analysts
