node,HGPA_label,NMF_label
Docker,5,2
Drawing,2,0
Due_Diligence,11,6
Dynamic_Host_Configuration_Protocol_(DHCP),1,1
Dynamic_Object-Oriented_Requirements_System_(DOORS),2,0
E-Commerce,3,3
Economic_Development,8,12
Economic_Growth,8,12
"Economics,_Policy,_and_Social_Studies",9,10
Economy,10,12
Education_and_Training,2,0
Elasticsearch,5,2
Electrical_Power,10,12
Electrical_and_Computer_Engineering,13,8
Electricity,10,12
Electronics,8,12
Electronics_Engineering,8,12
Embedded_Firmware,10,12
Embedded_Software,10,12
Embedded_Systems,10,12
Embedding,2,11
Emergency_Response,8,6
Emerging_Technologies,7,6
Employee_Engagement,11,6
Empowerment,5,2
Encryption,9,10
End_Systems,13,2
Endpoint_Security,7,6
Energy_Efficiency,14,4
Energy_and_Utilities,10,12
"Engineering,_Scientific,_and_Technical_Instruments",2,0
Engineering_Practices,7,10
Engineering_Support,7,10
Enterprise_Application_Integration,3,3
Enterprise_Architecture,0,11
Enterprise_Integration,3,3
Enterprise_Sales,8,12
Entity_Framework,6,13
Environmental_Monitoring,5,2
Equity_and_Debt,9,10
Escalation_Procedures,1,5
Esri_ArcGIS,10,4
Event_Viewer,3,9
Events_and_Conferences,2,0
Executable,5,2
Extract_Transform_Load_(ETL),3,11
F5_Load_Balancers,1,5
Facebook,4,3
Failover,12,10
Farming,8,12
File_Management,1,1
File_Transfer,12,11
File_Transfer_Protocol_(FTP),8,5
Filemaker,10,12
Finance,3,2
Financial_Management,10,4
Financial_Services,12,10
Financial_Systems,3,2
"Fire_Prevention,_Safety,_and_Control",9,10
Firewall,7,5
Firmware,10,12
Firmware_Development,10,12
Food_and_Beverage,4,9
Force.Com,11,11
Fortinet,2,0
Frame_Relay,8,5
Frameworx,3,3
FreeBSD,12,9
FreeRADIUS,12,9
FreeRTOS,10,12
FreeSWITCH,3,9
Full_Stack_Development,5,2
Functional_Testing,5,2
Furniture_Design,2,0
GNU_Toolchain,14,12
Genesys,2,0
Geocoding,10,4
Geographic_information_system,10,4
Geography,3,9
Git,6,2
GitHub,5,2
Github,5,2
Gitlab,5,2
Google,9,10
Google_Analytics,0,11
Google_Cloud,7,10
Google_Cloud_Platform,5,2
Google_Cloud_Platform_(GCP),7,10
Google_Sheets,11,3
Grafana,3,2
GraphDB,12,3
Graphics_Processing_Unit_(GPU),13,8
Graphing,1,5
Group_Policy,9,10
HP_3Par,14,4
HTML5,11,13
Hardening,7,6
Hazard_Analysis,4,9
Healing,13,8
Health_Maintenance,3,14
High-Level_Architecture,5,2
Home_Networks,1,1
Human_Resources,8,12
Hybris,4,3
Hygiene,9,10
Hyper-V,3,9
HyperText_Markup_Language_(HTML),6,13
Hypervisor,14,4
IBM_AIX,9,10
IBM_Cloud,12,10
IBM_Lotus_Notes,4,9
IP_Addressing,2,1
IP_Pbx,12,11
IP_Routing,7,1
IPv4,1,1
IPv6,1,1
IT_Infrastructure,4,9
IT_Management,2,0
IT_Service_Management,2,1
Identity_And_Access_Management,12,11
Identity_Management,9,10
Identity_Verification,0,11
Image_Processing,13,8
Imperva,7,6
In-Plane_Switching_(IPS),7,6
Incident_Management,11,13
Incident_Response,7,6
Indexing,12,3
Industrial_Engineering,2,11
InfluxDB,4,9
Infoblox,7,0
Informatica,0,11
Information_And_Communications_Technology,9,10
Information_Management,8,7
Information_Systems,11,0
Information_Technology,3,0
Infrastructure_Architecture,3,7
Infrastructure_As_A_Service_(IaaS),12,13
Infrastructure_Security,7,6
Initiative_and_Leadership,10,12
Inquiry,12,9
Installation,12,2
Instrumentation,4,9
Integration_Platform_As_A_Service_(IPaaS),3,2
Integration_Testing,10,12
Interface_Design,6,13
Interior_Design,11,0
Internet_Control_Message_Protocol_(ICMP),2,0
Internet_Of_Things_(IoT),10,12
Internet_Protocols,8,6
Internet_Small_Computer_System_Interface_(ISCSI),4,9
Internetworking,8,5
Interoperability,7,5
Intranet,10,10
Inventory_and_Warehousing,4,9
JIRA,6,2
JSON,6,13
Jabber,8,6
Java,6,13
JavaScript,6,13
JavaScript_Frameworks,12,10
JavaScript_and_jQuery,6,13
Java_8,3,13
Jenkins,5,2
Journals,1,14
Junos,1,5
Jupyter,13,8
Jupyter_Notebook,13,8
Knowledge_Base,1,1
Knowledge_Management,10,4
Kotlin,12,5
Kubernetes,5,2
LAN_Switching,7,1
