node,HGPA_label,NMF_label
Quality_Management,4,6
RAID,2,11
Radar,2,11
Recruitment,10,4
Red_Hat_Enterprise_Linux,11,7
Registration,2,11
Remote_Administration,10,4
Remote_Authentication_Dial_In_User_Service_(RADIUS),6,9
Remote_Monitoring,9,10
Resourcing,0,6
Revenue_Management,1,11
Root_Cause_Analysis,1,11
Route,11,7
Routing_Protocols,8,0
SSL,11,3
Sales,7,9
Sales_Process,8,10
Salesforce,10,7
Scalability,9,3
Scheduling,7,1
Scheme,3,5
Science_and_Research,4,4
Scripting,4,2
Secure_Coding,6,9
Security_Administration,8,0
Security_Controls,11,7
Security_Operations,11,7
Server-Side,0,2
Server_Administration,9,10
Server_Virtualization,9,3
Servers,5,8
ServiceNow,9,10
Service_Level,7,9
Service_Management,7,9
Service_Planning,10,4
Service_Recovery,0,2
Social_Media,2,11
Softphone,6,9
Software_Deployment,9,3
Software_Engineering,4,6
Software_Quality_Assurance,2,11
SolarWinds,7,9
Sonicwall,9,10
Splunk,1,11
Sports_and_Recreation,0,2
Spyware,5,4
Stakeholder_Management,4,5
Statistics,11,3
Storage_Area_Network_(SAN),9,10
Storage_Management,11,3
Storage_Systems,9,10
Subsidies,10,7
Supply_Chain_Management,3,5
Surveys,4,5
Syslog,6,9
System_Administration,8,10
System_Center_Configuration_Manager,5,4
System_Configuration,3,5
System_Design_and_Implementation,8,10
System_Implementation,3,5
System_Lifecycle,5,4
System_Monitoring,8,10
Systems_Architecture,4,6
TCP/IP,11,7
Tableau,6,9
Talent_Acquisition,3,5
Tax,3,5
Team_Processes,3,5
Technical_Analysis,2,11
Technical_Assistance,8,0
Technical_Documentation,2,11
Technical_Services,7,1
Technical_Support_and_Services,1,6
Technical_Writing,2,11
TeleCommunications_Engineering,1,10
Telecommunications,1,11
Telephony,8,0
Templates,3,5
Terminal_Access_Controller_Access-Control_System_(TACACS),11,7
Threat_Modeling,6,9
Traceroute,11,7
Training_Programs,10,7
Transmission_Control_Protocol_(TCP),11,7
Transport_Layer_Security_(TLS),5,8
"Transportation,_Supply_Chain,_and_Logistics",0,2
Travel_and_Tourism,4,6
TypeScript,0,2
UNIX,9,3
Unified_Communications,10,4
Unix,9,3
Uptime,5,4
Usability,0,6
User_Acceptance_Testing_(UAT),3,5
User_Accounts,5,8
User_Experience,11,3
