node,HGPA_label,NMF_label
Data_Security,10,6
Data_Storage,0,16
Data_Storytelling,10,6
Data_Structures,13,13
Data_Transformation,1,16
Data_Validation,10,6
Data_Verification,16,3
Data_Visualization,1,16
Data_Warehouse_Systems,16,7
Data_Warehousing,0,14
Database_Administration,10,6
Database_Design,8,12
Database_Development,0,15
Database_Management,10,6
Database_Management_Systems,0,9
Database_Queries,16,9
Database_Schema,10,6
Database_Software,12,0
Database_Systems,15,0
Database_management_systems,0,9
Database_software,12,0
Databases,16,0
Databricks,3,9
Dataflow,4,13
Dataset,1,16
Debugging,13,2
Deductive_Reasoning,11,15
Deferred_Tax,6,10
Delivery_Performance,8,3
Demand_Planning,8,3
Dependency_Management,4,4
Descriptive_Statistics,2,15
Design,15,4
Design_Reviews,5,1
Design_Specifications,14,12
Design_Studio,14,12
Design_Thinking,6,7
Desktop_Support,12,0
DevOps,8,12
Development_Environment,5,4
Dialog_Programming,7,1
Dig,1,16
Digital_Marketing,6,10
Digital_Technology,8,4
Digital_Transformation,16,1
Dimensional_Modeling,0,9
Directory_Permissions,14,12
Disabilities,12,0
Disaster_Recovery,13,16
Distributed_Development,15,8
Diversity_And_Inclusion,5,7
Docker,12,2
Document_Control,13,2
Domo,9,8
Drawing,4,13
Due_Diligence,13,7
Dynamic_Host_Configuration_Protocol_(DHCP),12,0
E-Business,15,11
E-Commerce,13,13
ERP_software,6,1
Econometrics,11,16
"Economics,_Policy,_and_Social_Studies",15,0
Editing_software,3,9
Education_and_Training,16,6
Electronics,7,1
Emerging_Technologies,0,14
Emotional_Intelligence,11,5
Employee_Benefits,9,7
Employee_Engagement,1,15
Employee_Relations,9,8
Employee_Retention,9,8
Employment_Compliance,13,0
End_Systems,14,11
Energy_and_Utilities,11,16
"Engineering,_Scientific,_and_Technical_Instruments",16,14
Enterprise_Architecture,4,13
Enterprise_Performance_Management_(EPM),15,8
Enterprise_Security,12,0
Entrepreneurship,14,11
Equity_and_Debt,14,10
Escalation_Management,8,3
Escalation_Procedures,9,8
Events_and_Conferences,16,16
Excel_Formulas,13,0
Excel_Macros,11,16
Exception_Handling,13,13
Executive_Leadership,13,0
Extract_Transform_Load_(ETL),0,14
Extranet,15,12
Facebook,14,11
Fact_Checking,11,6
FastTrack,7,1
Feasibility_Studies,14,11
File_Transfer_Protocol_(FTP),5,4
Finance,8,1
Financial_Accounting,6,1
Financial_Analysis,9,8
Financial_Analytics,0,9
Financial_Data,2,4
Financial_Data_Management,2,4
Financial_Institution,16,4
Financial_Management,6,7
Financial_Modeling,4,4
Financial_Monitoring,9,8
Financial_Planning,7,3
Financial_Reporting,6,10
Financial_Risk,5,7
Financial_Services,5,7
Financial_Software,8,1
Financial_Statements,6,1
Financial_Systems,11,16
"Fire_Prevention,_Safety,_and_Control",13,2
Firefox,14,11
Firmware,2,11
Fixed_Asset,6,1
Flash,3,14
Flowcharts,4,4
Flux_Analysis,14,10
Focus_Group,2,11
Food_Delivery,10,15
Food_and_Beverage,10,15
Force.Com,11,15
Framer,2,4
Front_Office,11,6
Functional_Design,7,1
Functional_Specification,5,3
Functional_Testing,10,6
Gap_Analysis,10,6
Gems,14,0
General_Accounting,6,1
General_Insurance,16,13
General_Ledger,14,1
Geography,3,14
Geometry,12,0
Git,15,2
GitHub,12,2
Github,12,2
Gitlab,12,2
Global_Financial_Services,5,7
Global_Health,9,8
Global_Mobility,9,8
Google,16,2
Google_Analytics,10,6
Google_Chrome,9,8
Google_Cloud,12,2
Google_Cloud_Platform,12,2
Google_Data,13,16
Google_Docs,14,0
Google_Drive,14,0
Google_Sheets,14,0
Google_Slides,14,0
Google_Tag_Manager,1,15
Groundwater_Modeling_System_(GMS),9,15
Group_Policy,14,12
HTML5,12,0
Healing,3,9
Health_Administration,3,9
Health_Assessment,9,8
Health_Care,3,9
Health_Information_Systems_(HIS),7,3
Help_Desk_Support,4,4
Hospitality_Industry,15,16
Hotels_and_Accommodations,3,14
Human_Capital,6,7
Human_Capital_Management_(HCM),9,11
Human_Resource_Management,15,11
Human_Resources,9,15
Human_Resources_Information_System_(HRIS),2,11
Hybris,13,13
HyperText_Markup_Language_(HTML),12,2
IBM_Cognos,15,0
IDoc,3,1
ISO_20022,11,6
IT_Infrastructure,13,16
IT_Risk_Management,9,8
IT_Sales,10,15
IT_Service_Management,11,16
IWork,14,0
Identity_Management,3,4
Identity_Verification,7,1
Imaging,5,7
Impact_Assessment,10,6
Implement_Projects,8,12
Inbound_Calls,10,15
Incident_Management,16,1
Independent_Thinking,8,4
Industrial_Engineering,14,3
Infomax,2,4
Informatica,15,14
Informatics,13,2
Information_Management,10,6
Information_Security_Management,12,2
Information_Systems,10,6
Information_Technology,2,11
Initiative_and_Leadership,14,0
Inquiry,14,11
Inside_Sales,13,16
Instagram,14,11
Installation,0,14
Instant_Messaging,3,9
Instrumentation,15,8
Integrated_Master_Plan_(IMP),7,1
Integration_Testing,7,1
Intellectual_Capital,6,7
Intercompany_Accounting,14,10
Interface_Design,4,13
Internal_Controls,9,8
Internal_Documentation,2,11
Intranet,15,12
Inventory_Analysis,6,10
Inventory_Management,7,1
Inventory_and_Warehousing,7,3
Investment_Banking,3,4
Investment_Management,1,15
Investments,0,9
Investor_Relations,14,0
Invoicing,9,8
J,11,4
JIRA,4,13
JSON,15,14
Java,12,2
JavaScript,12,2
JavaScript_and_jQuery,12,2
Jenkins,12,2
Journalism,5,1
Journals,12,0
KPI_Reporting,9,12
Knowledge_Base,2,4
Knowledge_Management,6,7
Kubernetes,12,2
Language,14,0
Language_Assessment,14,3
"Law,_Regulation,_and_Compliance",9,10
Lead_Generation,1,15
Lean_Six_Sigma,6,7
Learning_Platforms,5,4
