node,HGPA_label,NMF_label
Data_Manipulation,2,11
Data_Mapping,4,13
Data_Mart,10,12
Data_Migration,3,3
Data_Mining,7,7
Data_Modeling,7,7
Data_Pipeline,3,1
Data_Presentation,12,10
Data_Privacy_Laws,12,13
Data_Processing,3,4
Data_Processing_Systems,7,10
Data_Profiling,4,13
Data_Quality,12,3
Data_Recovery,10,4
Data_Retrieval,11,5
Data_Science,11,1
Data_Security,10,4
Data_Storage,6,5
Data_Storytelling,5,11
Data_Streaming,0,8
Data_Structures,3,1
Data_System,8,4
Data_Transformation,10,4
Data_Validation,4,5
Data_Verification,5,4
Data_Visualization,2,10
Data_Warehousing,10,12
Data_Wrangling,12,5
Data_visualization_software,2,11
Database_Administration,9,6
Database_Architecture,10,12
Database_Design,10,12
Database_Development,7,7
Database_Management,4,5
Database_Management_Systems,4,5
Database_Queries,8,3
Database_Software,13,8
Database_Systems,9,14
Database_Tuning,6,8
Database_management_software,5,10
Database_management_systems,4,5
Database_software,13,8
Databases,7,4
Databox,2,11
Databricks,8,12
Dataflow,3,4
Dataset,7,1
Debugging,9,14
Decision_Support_Systems,14,9
Decision_Tree_Learning,1,9
Decoding,3,4
Deep_Learning,7,7
Delivery_Pipeline,11,13
Demand_Planning,5,13
Dental_Care,8,12
Department_Of_Defense_(DoD)_8510,0,0
Deployment_Support,8,3
Descriptive_Statistics,10,14
Design,5,3
Design_Reviews,10,12
Design_Specifications,8,3
Design_Thinking,4,13
DevOps,8,3
Development_Environment,3,1
Development_Management,1,0
Development_Support,6,5
Development_Testing,10,6
Dig,13,8
Digital_Data,13,11
Digital_Marketing,2,2
Digital_Media,5,1
Digital_Systems,8,4
Digital_Technology,5,2
Digital_Transformation,11,5
Dimensional_Modeling,4,5
Direct_Digital_Controls_(DDC),9,6
Dirty_Data,12,13
Disaster_Recovery,0,8
Disaster_Recovery_Plan,0,8
Discharge_Planning,6,11
Dissemination,3,4
Distributed_Computing,7,1
Distribution_System_Operators_(DSO),10,4
Diversity_And_Inclusion,4,13
Diving,7,7
Django,5,9
Docker,13,4
Domo,13,10
Drawing,11,7
Drupal,6,11
E-Commerce,1,0
Econometrics,11,13
Economic_Indicators,1,2
"Economics,_Policy,_and_Social_Studies",5,13
Economy,13,8
Education_and_Training,9,6
Elasticsearch,3,4
Electronics,2,11
Embedding,4,13
Emerging_Technologies,13,10
Employee_Benefits,4,5
Empowerment,4,13
Energy_and_Utilities,14,1
"Engineering,_Scientific,_and_Technical_Instruments",3,1
Engineering_Practices,3,4
Engineering_Support,7,7
Enterprise_Risk_Management_(ERM),4,13
Entity_Framework,13,8
Environment_and_Resource_Management,8,3
Equity_and_Debt,4,0
Event_Tracking,12,5
Events_and_Conferences,8,3
Excel_Formulas,6,0
Executive_Leadership,7,7
Executive_Presence,11,7
Experimentation,2,11
Exploratory_Data_Analysis,11,5
External_Marketing,8,3
Extract_Transform_Load_(ETL),14,4
Facebook,1,9
Facebook_Analytics,2,10
Facebook_Insights,1,9
Failover,0,8
FastAPI,11,4
Feature_Engineering,5,9
File_Systems,8,12
File_Transfer,8,3
File_Transfer_Protocol_(FTP),0,8
Finance,4,13
Financial_Analysis,4,13
Financial_Data,11,5
Financial_Management,5,13
Financial_Modeling,6,10
Financial_Reporting,5,4
Financial_Services,12,13
Financial_Statements,4,0
"Fire_Prevention,_Safety,_and_Control",10,6
Firebase,2,2
Firewall,9,6
Fixed_Income,11,7
Flash,8,3
Food_Delivery,13,8
Food_and_Beverage,13,8
Forth,1,0
Franchising,14,6
Fraud_Prevention_And_Detection,2,10
Freshdesk,3,4
Functional_Design,14,10
Gap_Analysis,0,8
Geometry,11,7
Git,0,8
GitHub,0,8
Github,0,8
Gitlab,3,4
Global_Health,10,6
Global_Leadership,5,9
Global_Management,3,4
Google,5,11
Google_Ads,2,2
Google_Analytics,1,9
Google_Cloud,5,11
Google_Cloud_Platform,3,4
Google_Cloud_Platform_(GCP),5,11
Google_Data,2,11
Google_Docs,2,11
Google_Drive,2,11
Google_Search_Console,6,11
Google_Sheets,2,11
Google_Slides,2,11
Google_Tag_Manager,13,11
Google_Workspace,2,2
Gradient_Boosting,7,7
GraphQL,0,8
Graph_Algorithms,7,7
Graphic_and_Visual_Design,12,10
Gremlin,3,4
Gurobi,1,9
HARVEST,14,10
HTML5,13,8
HVAC,9,6
Hadoop_Distributed_File_System_(HDFS),7,4
Hdinsight,3,3
Health_Care,4,5
Health_Care_Benefits,4,5
Health_Information_Systems_(HIS),10,14
Hedge_Funds,4,0
Hospital_Experience,6,11
Hospitality_Industry,12,12
Human_Capital,4,5
Human_Capital_Management_(HCM),6,5
Human_Resources,12,12
Human_Resources_Information_System_(HRIS),10,12
Hygiene,8,3
Hyper-V,9,6
HyperText_Markup_Language_(HTML),0,8
IBM_AIX,11,13
IBM_DB2,10,12
IBM_I,11,13
IBM_Maximo,13,0
IBM_WebSphere,9,14
IBM_WebSphere_MQ,9,14
IT_Asset_Management,0,8
IT_Infrastructure,4,13
IT_Service_Management,7,7
Imaging,9,6
Implement_Projects,6,10
Incident_Management,5,4
Indexing,10,14
Industrial_Engineering,5,10
Informatica,7,4
Informatica_PowerCenter,12,12
Informatica_Powercenter,12,12
Informatics,11,1
Information_Architecture,12,10
Information_Management,7,1
Information_Retrieval,7,7
Information_Systems,9,6
Information_Technology,10,14
Infrastructure_Architecture,10,6
Initiative_and_Leadership,6,11
Inquiry,12,10
Installation,5,8
Instrumentation,3,4
Integration_Testing,10,14
Intellectual_Capital,6,5
Interactive_Voice_Response,2,10
Intercom,14,9
Internet_Of_Things_(IoT),3,3
Internet_Protocols,14,8
Interoperability,10,14
Inventory_Analysis,6,5
Inventory_Management,1,0
Inventory_and_Warehousing,14,0
Investments,12,5
Issuer,14,9
JIRA,0,8
JSON,0,8
Java,14,4
JavaScript,2,11
JavaScript_and_jQuery,2,11
Java_Message_Service_(JMS),0,8
Jenkins,5,4
Journals,2,9
Jupyter,7,1
Jupyter_Notebook,5,1
K-Means_Clustering,7,7
Kibana,6,11
Knowledge_Base,6,5
Kubernetes,5,4
Language,9,6
Language_Assessment,1,0
"Law,_Regulation,_and_Compliance",6,0
Lead_Generation,1,2
Library_and_Archiving,11,1
Licensing,6,5
Lifecycle_Management,13,10
Linear_Algebra,7,1
Linear_Programming,1,9
Linear_Regression,7,7
Linux,10,14
Linux_Administration,9,14
Linux_Servers,9,14
Load_Balancing,9,6
Loans,6,11
Logical_Data_Models,4,13
Logistic_Regression,11,7
Low_Latency,14,1
Luxury_Goods,7,10
MATLAB,13,13
Mac_OS,5,3
Machine_Learning_(ML),7,7
Machine_Learning_Algorithms,1,9
Machine_Learning_Methods,7,7
Machinery,12,10
MailChimp,8,3
Mailchimp,8,3
"Maintenance,_Repair,_and_Facility_Services",10,6
Managed_Services,8,1
Management_Information_Systems,9,6
Management_Systems,12,12
Manufacturing_Operations,9,14
